"id","timestamp","frc","current_speed","free_flow_speed","current_travel_time","free_flow_travel_time","confidence"
"1","2025-03-29 13:17:45","FRC2","51","65","557","437","1"
"2","2025-03-29 13:17:55","FRC2","51","65","557","437","1"
"3","2025-03-29 13:18:07","FRC2","52","66","546","430","1"
"4","2025-03-29 13:28:11","FRC2","48","66","591","430","1"
"5","2025-03-29 13:28:21","FRC2","48","66","591","430","1"
"6","2025-03-29 13:28:31","FRC2","48","66","591","430","1"
"7","2025-03-29 13:28:42","FRC2","48","66","591","430","1"
"8","2025-03-29 13:28:52","FRC2","48","65","591","437","1"
"9","2025-03-29 13:29:02","FRC2","48","65","591","437","1"
"10","2025-03-29 13:29:12","FRC2","48","65","591","437","1"
"11","2025-03-29 13:29:23","FRC2","48","65","591","437","1"
"12","2025-03-29 13:29:33","FRC2","48","66","591","430","1"
"13","2025-03-29 13:30:49","FRC2","49","66","579","430","1"
"14","2025-03-29 13:45:00","FRC2","50","64","568","443","1"
"15","2025-03-29 13:48:25","FRC2","47","66","604","430","1"
"16","2025-03-29 14:15:28","FRC2","49","66","579","430","1"
"17","2025-03-29 14:15:36","FRC2","49","66","579","430","1"
"18","2025-03-29 14:47:26","FRC2","48","66","591","430","1"
"19","2025-03-29 14:47:38","FRC2","50","65","568","437","1"
"20","2025-03-29 18:25:41","FRC2","44","66","645","430","1"
"21","2025-03-29 18:30:41","FRC2","45","65","631","437","1"
"22","2025-03-29 18:35:41","FRC2","49","65","579","437","1"
"23","2025-03-29 18:40:42","FRC2","44","65","645","437","1"
"24","2025-03-29 18:45:42","FRC2","48","66","591","430","1"
"25","2025-03-29 18:50:42","FRC2","47","66","604","430","1"
"26","2025-03-30 11:04:14","FRC2","66","66","430","430","1"
"27","2025-03-30 11:09:14","FRC2","66","66","430","430","1"
"28","2025-03-30 11:14:15","FRC2","66","66","430","430","1"
"29","2025-03-30 11:19:15","FRC2","66","66","430","430","1"
"30","2025-03-30 11:24:15","FRC2","66","66","430","430","1"
"31","2025-03-30 11:29:15","FRC2","66","66","430","430","1"
"32","2025-03-30 11:34:16","FRC2","50","65","568","437","1"
"33","2025-03-30 11:39:16","FRC2","50","65","568","437","1"
"34","2025-03-30 14:05:18","FRC2","48","65","591","437","1"
"35","2025-03-30 14:10:18","FRC2","47","65","604","437","1"
"36","2025-03-30 14:15:19","FRC2","47","66","604","430","1"
"37","2025-03-30 14:20:18","FRC2","49","66","579","430","1"
"38","2025-03-30 14:25:19","FRC2","48","65","591","437","1"
"39","2025-03-30 14:40:23","FRC2","48","66","591","430","1"
"40","2025-03-31 07:53:40","FRC2","44","65","645","437","1"
"41","2025-03-31 07:58:41","FRC2","42","65","676","437","1"
"42","2025-03-31 08:03:41","FRC2","43","65","660","437","1"
"43","2025-03-31 08:08:41","FRC2","43","65","660","437","1"
"44","2025-03-31 08:13:41","FRC2","41","65","692","437","1"
"45","2025-03-31 08:32:01","FRC2","44","65","645","437","1"
"46","2025-03-31 08:37:02","FRC2","43","65","660","437","1"
"47","2025-03-31 08:42:41","FRC2","43","66","660","430","1"
"48","2025-03-31 08:47:41","FRC2","44","65","645","437","1"
"49","2025-03-31 08:52:41","FRC2","42","65","676","437","1"
"50","2025-03-31 08:57:41","FRC2","43","66","660","430","1"
"51","2025-03-31 09:02:42","FRC2","47","65","604","437","1"
"52","2025-03-31 09:07:42","FRC2","42","65","676","437","1"
"53","2025-03-31 09:12:42","FRC2","44","65","645","437","1"
"54","2025-03-31 09:17:42","FRC2","45","65","631","437","1"
"55","2025-03-31 09:22:43","FRC2","44","65","645","437","1"
"56","2025-03-31 09:27:43","FRC2","44","65","645","437","1"
"57","2025-04-01 13:08:13","FRC2","66","66","430","430","1"
"58","2025-04-01 13:13:13","FRC2","54","65","526","437","1"
"59","2025-04-01 13:18:13","FRC2","53","65","536","437","1"
"60","2025-04-01 13:23:14","FRC2","54","66","526","430","1"
"61","2025-04-01 13:28:14","FRC2","53","65","536","437","1"
"62","2025-04-01 13:33:14","FRC2","66","66","430","430","1"
"63","2025-04-01 13:38:15","FRC2","66","66","430","430","1"
"64","2025-04-01 13:43:15","FRC2","66","66","430","430","1"
"65","2025-04-01 13:48:15","FRC2","52","66","546","430","1"
"66","2025-04-01 13:53:15","FRC2","47","65","604","437","1"
"67","2025-04-01 13:58:16","FRC2","53","65","536","437","1"
"68","2025-04-01 14:03:16","FRC2","52","66","546","430","1"
"69","2025-04-01 17:30:45","FRC2","35","65","811","437","1"
"70","2025-04-01 17:35:46","FRC2","37","65","767","437","1"
"71","2025-04-01 17:40:46","FRC2","31","65","916","437","1"
"72","2025-04-01 17:45:46","FRC2","34","65","835","437","1"
"73","2025-04-01 17:50:47","FRC2","33","65","860","437","1"
"74","2025-04-01 17:55:47","FRC2","35","66","811","430","1"
"75","2025-04-01 18:00:47","FRC2","35","65","811","437","1"
"76","2025-04-01 18:05:47","FRC2","39","65","728","437","1"
